"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"BL","","","",1,*,"","","","","","The Boolean type stands for the values of two-valued logic. A Boolean value can be either true or false, or, as any other value may be NULL.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"BL.nullFlavor","","","Exceptional Value Detail",0,1,"","","","code {[]} {[]}
","","If a value is an exceptional value (NULL-value), this specifies in what way and why proper information is missing.","","","","","","","","","",,"required","","http://terminology.hl7.org/ValueSet/v3-NullFlavor","",,,,"ANY.nullFlavor",0,1,"",""
"BL.value","","","",0,1,"","","","boolean {[]} {[]}
","","The Boolean type stands for the values of two-valued logic. A Boolean value can be either true or false, or, as any other value may be NULL.","","","","","","","","","",,,,,"",,,,"BL.value",0,1,"",""
